"$theta [deg]","Torque1.Torque [mNewtonMeter]"
0,21.2706299129911
5,-38.6884756311396
10,-109.369820502389
15,-73.622833659084
20,-72.8981652298876
25,-123.648198263163
30,-83.1474989377897
35,-80.8417330671392
40,-115.749717562315
45,-89.2844088295964
50,-84.3298369028543
55,-110.417193805231
60,-93.9339279172998
65,-86.3208000247049
70,-107.653325937594
75,-96.8498286884608
80,-28.5844444019421
85,-8.4598449824552
90,-0.119113952926116
95,0
100,0
105,0
110,0
115,0
120,0
125,0
130,0
135,0
140,0
145,0
150,0
155,0
160,0
165,0
170,0
175,0
180,0
185,-38.6884756311396
190,-109.369820502332
195,-73.622833658952
200,-72.8980184682082
205,-123.648198263225
210,-83.1474989377712
215,-80.8417330670242
220,-115.749717562205
225,-89.2844088295964
230,-84.3298369028543
235,-110.41719380508
240,-93.9339279173908
245,-86.0513346568168
250,-107.653325937588
255,-98.5580394803389
260,-28.5729510131185
265,-8.45984498245521
270,-0.0772745703239846
275,0
280,0
285,0
290,0
295,0
300,0
305,0
310,0
315,0
320,0
325,0
330,0
335,0
340,0
345,0
350,0
355,0
360,0
