"$theta [deg]","ExprCache(W_mag_exp1) []"
0,1.8953253153135
1,1.88908720822269
2,1.8838582633536
3,1.88119387595638
4,1.88283200224979
5,1.88893847664108
6,1.89822309581996
7,1.91175041239414
8,1.92869437146575
9,1.94853806231095
10,1.97056181578647
11,1.99418988585995
12,2.01785662344408
13,2.03972957087958
14,2.05873099312702
15,2.07279805326122
16,2.084721068408
17,2.09731487745459
18,2.11190308337701
19,2.12823013541711
20,2.14762460946693
21,2.17045861787012
22,2.19584230855238
23,2.22379755043417
24,2.25518935162029
25,2.28811515643292
26,2.32242987791446
27,2.3589962119488
28,2.39279240441392
29,2.42587911976043
30,2.45884837170188
31,2.4894731229289
32,2.51912125341952
33,2.54805797231704
34,2.58092463646675
35,2.61095399069935
36,2.63664011396229
37,2.66500775738467
38,2.69175864945966
39,2.72073652810297
40,2.74814404730335
41,2.77264006060025
42,2.78910313965572
43,2.79867920514381
44,2.80355080564556
45,2.80131603497675
46,2.79459372977911
47,2.78493102567668
48,2.77495612518821
49,2.76704851506332
50,2.75726037428672
51,2.75044534932342
52,2.74463258574266
53,2.74019429426984
54,2.73475553027217
55,2.73155159835937
56,2.72752727413541
57,2.72329836259534
58,2.71839066309539
59,2.71071384150095
60,2.69903750051019
61,2.68734533654548
62,2.67336578716056
63,2.65918975558224
64,2.6462445745504
65,2.63294509989525
66,2.62367387853157
67,2.61539039917532
68,2.61078059143677
69,2.60690726463635
70,2.60461731391977
71,2.60375726787933
72,2.60318694289561
73,2.60221447443676
74,2.60088399254353
75,2.59666413598017
76,2.59154474597796
77,2.58280239164741
78,2.57119654677122
79,2.56018485880402
80,2.54887136131246
81,2.53995574628533
82,2.53155725436696
83,2.52286188393913
84,2.51690717455996
85,2.51179857882063
86,2.50803203248874
87,2.50520505437071
88,2.50340663112853
89,2.50144630725431
90,2.50121339251595
91,2.502798092135
92,2.50357284456611
93,2.50544012748503
94,2.50693425691682
95,2.51254528620236
96,2.51745708485927
97,2.52269887638878
98,2.5292960049658
99,2.53830634185517
100,2.54795281787907
101,2.55862787632573
102,2.56932008836923
103,2.5802977803798
104,2.59015722386072
105,2.59466873817132
106,2.5995147132925
107,2.60210908972752
108,2.60583267653045
109,2.60825828359127
110,2.61171693031367
111,2.61669268783123
112,2.62407291334973
113,2.63230008418031
114,2.64340374259622
115,2.65667024715297
116,2.67003076965039
117,2.6835433009533
118,2.69660256005151
119,2.70885116258509
120,2.71835893351303
121,2.72443293786293
122,2.73029266393367
123,2.7340990775244
124,2.73848728829386
125,2.7430384635862
126,2.74853444878667
127,2.7548534478727
128,2.76167999782547
129,2.77022769609425
130,2.77997990799598
131,2.79184864818287
132,2.80150138232065
133,2.81071604196388
134,2.81603413674284
135,2.81940023692087
136,2.81678497085085
137,2.80845044353262
138,2.79803394413573
139,2.78287361777117
140,2.7613341144564
141,2.73473418528981
142,2.70983860117078
143,2.6870762965066
144,2.66112872395682
145,2.63583184178106
146,2.60594802829336
147,2.57489015739971
148,2.5422516796838
149,2.50863459341894
150,2.47389130383485
151,2.43741000266705
152,2.40042666526543
153,2.36565441534188
154,2.33078004301316
155,2.29813839645278
156,2.26820493358248
157,2.24170804778971
158,2.21703366997881
159,2.19567219822706
160,2.17590590670633
161,2.1578504807383
162,2.1418488146678
163,2.12616268725236
164,2.1075430027359
165,2.08608578226651
166,2.06255491327854
167,2.03778431904514
168,2.01451981337273
169,1.99075481468684
170,1.96972703074352
171,1.95165470211714
172,1.93634183763609
173,1.92455609109043
174,1.91536922421595
175,1.90854057571523
176,1.90434693323731
177,1.90198788669263
178,1.9012901927699
179,1.89856019083539
180,1.89532531531496
