"$theta [deg]","Matrix1.L(Winding1,Winding1) [mH]"
0,53.2936295564785
1,53.4453845144492
2,53.5454480388324
3,53.5754094128976
4,53.5159666818752
5,53.3843307974622
6,53.1553214631729
7,52.8238202617455
8,52.4178949088681
9,51.939597978118
10,51.4436337764221
11,50.8715740302936
12,50.3341666710461
13,49.8319700011245
14,49.3589628518921
15,49.0002049071154
16,48.7241486279595
17,48.4751320434331
18,48.2292211525589
19,47.972026642639
20,47.6541788938055
21,47.2830950607929
22,46.8443819107122
23,46.3748488644599
24,45.8362249225894
25,45.2356063580024
26,44.6747714655414
27,44.0729748036669
28,43.5388670074875
29,43.0280934630733
30,42.5791064487133
31,42.2451363056865
32,41.9541263857547
33,41.6660968966243
34,41.3498999941293
35,41.0104079271846
36,40.6141806048305
37,40.1320842386663
38,39.6691815700146
39,39.1308667636248
40,38.5440950117545
41,37.9229913204561
42,37.3459776134818
43,36.8114897337697
44,36.2688171454154
45,35.761545840565
46,35.4158379343723
47,35.0641601626879
48,34.7218142100569
49,34.3353372647456
50,33.9466737791376
51,33.5347929211363
52,33.0595859739904
53,32.5485086881759
54,32.0114032681019
55,31.4289514118876
56,30.8536120610968
57,30.2583012383618
58,29.7094087785176
59,29.1555084908524
60,28.6329747340072
61,28.1784616325532
62,27.7773419738105
63,27.3757642304053
64,26.9497076819556
65,26.5260383421543
66,26.0642490424632
67,25.5806171968412
68,25.0715415252798
69,24.5322047229863
70,23.9576385635522
71,23.3816176868606
72,22.8158347438881
73,22.2194779060488
74,21.6146523249755
75,21.0683102219242
76,20.5995156967977
77,20.209378904171
78,19.9107695207075
79,19.6811412357443
80,19.5077520943774
81,19.376512011846
82,19.2757988128254
83,19.1878554897007
84,19.1278039721907
85,19.0812902408225
86,19.034812619372
87,19.0073964819408
88,18.9860910185417
89,18.9768637479801
90,18.9727570886554
91,18.9750101840145
92,18.98711550896
93,19.002928305464
94,19.0360179458187
95,19.0698238608077
96,19.1209140263404
97,19.1890319117709
98,19.270436561827
99,19.3629771388096
100,19.5035138253182
101,19.679413364069
102,19.8911397341484
103,20.1868508630935
104,20.5100771904544
105,21.0106365034612
106,21.5099356480685
107,22.0350733510848
108,22.5671868920654
109,23.0969328240817
110,23.6022600146896
111,24.0993599319261
112,24.5768539921151
113,25.0416703518257
114,25.507480824984
115,25.93506931265
116,26.3909811446633
117,26.8018184011736
118,27.2675791077376
119,27.7613711967642
120,28.3080982182658
121,28.8735649612463
122,29.4462281155634
123,29.9999840129523
124,30.5501359226464
125,31.1043998041039
126,31.5858379303036
127,32.0565307528582
128,32.5135184459495
129,32.9387956466021
130,33.3001711126039
131,33.6922630244264
132,34.0604696138934
133,34.5026998306835
134,34.9519880042609
135,35.4925336530181
136,36.0584080368119
137,36.6431038481604
138,37.2055424783673
139,37.7509316349531
140,38.3033813444543
141,38.7686825522039
142,39.191158558181
143,39.5965195652338
144,39.9747924799566
145,40.304431033896
146,40.64147085377
147,40.9691202764459
148,41.367901135648
149,41.7903773058568
150,42.3125759374197
151,42.863147447589
152,43.4541373156502
153,44.0214369633915
154,44.5692275341992
155,45.0995960319504
156,45.5444595305554
157,45.9660092998302
158,46.3293985029975
159,46.6502204274504
160,46.943189439573
161,47.1983271099676
162,47.4899421406851
163,47.8292188394596
164,48.2463555350401
165,48.7263020174338
166,49.2874280816774
167,49.8631625510376
168,50.4176252445567
169,50.9506704090131
170,51.4493392689708
171,51.8664689334089
172,52.223802065312
173,52.4983739853092
174,52.6937818160061
175,52.8420477933772
176,52.9500386758622
177,53.0391650897374
178,53.1480371628725
179,53.20535770976
180,53.2936295564781
