"$theta [deg]","Matrix1.L(Winding1,Winding1) [mH]"
0,30.8299492004646
1,30.8375762039856
2,30.8353040576944
3,30.839355914788
4,30.8345788513893
5,30.823270634116
6,30.8226603159445
7,30.8195831579346
8,30.8058363963548
9,30.7839282356033
10,30.7933067810226
11,30.780794519563
12,30.7656632399368
13,30.743336078143
14,30.7212425992346
15,30.7001199577855
16,30.6645832471604
17,30.6393431075966
18,30.6188748386301
19,30.5914010569637
20,30.5584837379198
21,30.5277996289695
22,30.5002968669139
23,30.4730971228175
24,30.4285806129251
25,30.4127659767353
26,30.3721262017873
27,30.3306286666853
28,30.3136216859149
29,30.2764510349535
30,30.231914807939
31,30.1790625474033
32,30.120753485203
33,30.0919736659608
34,30.0323283561785
35,29.9769679446968
36,29.8822457522289
37,29.7944395377542
38,29.6884393759671
39,29.5887907229198
40,29.4697819573196
41,29.3331917420848
42,29.160077446617
43,28.9648196087351
44,28.7587094472098
45,28.5149731890615
46,28.2669039994439
47,28.0238092443245
48,27.7754868131791
49,27.5204740371619
50,27.2751519040797
51,27.0334747506462
52,26.7897205283127
53,26.5503977664625
54,26.3066714923986
55,26.0585738817635
56,25.8087426680637
57,25.5511088212359
58,25.3002036842048
59,25.0346315952951
60,24.7607196317798
61,24.4958197310547
62,24.2314273543759
63,23.9701541344257
64,23.7200546361843
65,23.4722417322214
66,23.2338852700254
67,23.0009556564898
68,22.7855898426033
69,22.5624967729825
70,22.3617398674308
71,22.1515676846888
72,21.9466962560959
73,21.7385579416687
74,21.5372864170122
75,21.3411561268947
76,21.1462176603686
77,20.9665185382285
78,20.7930696913363
79,20.6448416092914
80,20.5149877683096
81,20.4152838658962
82,20.3278449088718
83,20.2515675038383
84,20.19347910694
85,20.1527994400956
86,20.1171586699117
87,20.088358000246
88,20.0695127869272
89,20.0565598958483
90,20.0519434482537
91,20.0559813473743
92,20.07010082824
93,20.0861956652733
94,20.1034829510546
95,20.1458102995103
96,20.1951046408516
97,20.2488767490638
98,20.3190627876174
99,20.4064988725138
100,20.5120700433379
101,20.6380271539587
102,20.7788181390688
103,20.9445735065793
104,21.1238862975113
105,21.3092036900277
106,21.5032014944104
107,21.6990326453346
108,21.9045185425605
109,22.1034903550246
110,22.3044350196291
111,22.5194348197675
112,22.7385514051874
113,22.9657188395125
114,23.2079232894572
115,23.4594238233891
116,23.7148572212466
117,23.9772006621352
118,24.2424150868369
119,24.5065135793659
120,24.7698236523799
121,25.0306624287623
122,25.2882392694758
123,25.5352093596174
124,25.7870924082908
125,26.0282655859278
126,26.2783104098944
127,26.5232439213492
128,26.7626314861152
129,27.0130075450665
130,27.2661014181015
131,27.527210385226
132,27.779557540008
133,28.0327262235549
134,28.283495547324
135,28.5278366851416
136,28.7519382885885
137,28.9632681518778
138,29.1549064006531
139,29.324686476696
140,29.4518599136336
141,29.5717070406956
142,29.6752486083191
143,29.7828794689504
144,29.8773251946541
145,29.9739705938391
146,30.0246374914865
147,30.0981299976081
148,30.1283003704712
149,30.164110582565
150,30.236878070915
151,30.2737735511424
152,30.3091059311696
153,30.3370588781469
154,30.3667899535124
155,30.395638773765
156,30.4352261619123
157,30.4691393421378
158,30.4862587057573
159,30.5249151757441
160,30.5650179415286
161,30.5839375848086
162,30.6141047951031
163,30.6505490568637
164,30.6794260816935
165,30.6985139034681
166,30.7293129651318
167,30.7447421663863
168,30.744359599048
169,30.7586338187974
170,30.7814481918226
171,30.7921972385964
172,30.8042454520957
173,30.8210538716951
174,30.8308530493663
175,30.8358756267551
176,30.8405032470203
177,30.8434638163076
178,nan
179,30.8304189314478
180,30.8299492004577
