"$theta [deg]","Torque1.Torque [mNewtonMeter]"
0,21.2706299129911
1,18.2932757721602
2,12.4553475405964
3,-5.59513922708411
4,-19.8779663059288
5,-38.6884756311105
6,-52.2156388339886
7,-74.1272205324671
8,-89.2533473918575
9,-96.2003103437082
10,-109.369820502382
11,-118.256018737157
12,-111.105218922274
13,-97.5404647544035
14,-83.6698299284168
15,-73.6228336588982
16,-58.1988245281576
17,-54.3383754495443
18,-59.6793263602272
19,-61.7632770397887
20,-72.8981652298875
21,-80.6901908763429
22,-94.0466996269328
23,-102.287951753374
24,-111.652696413605
25,-123.648198263163
26,-115.480287617428
27,-114.386575243192
28,-110.772468405231
29,-95.4999760039435
30,-83.1474989377897
31,-71.9538373590665
32,-64.591338072268
33,-65.3816362448237
34,-67.634739390829
35,-80.8417330670242
36,-92.4337191914003
37,-97.7923133615758
38,-109.623380532169
39,-116.350539562038
40,-115.749717562314
41,-118.071313587774
42,-118.952819371278
43,-110.787574510508
44,-96.6331698577408
45,-89.2844088294648
46,-78.9822730815621
47,-74.4587044707008
48,-73.5596485458551
49,-77.1583620453711
50,-84.3298369028542
51,-92.6060970919371
52,-99.3122327297472
53,-105.615127203242
54,-107.95359544843
55,-110.417193805231
56,-119.578801770023
57,-120.10581128704
58,-110.827605096315
59,-104.616145614395
60,-93.9339279172998
61,-84.2036703966695
62,-79.7086601867039
63,-83.8723663492233
64,-82.9350986200391
65,-86.3208000247049
66,-89.3061189914548
67,-95.3992347598217
68,-100.561912997493
69,-105.930717644567
70,-107.653325937594
71,-110.021025861657
72,-111.29614981673
73,-111.695828246631
74,-105.810379325971
75,-96.8498286884679
76,-80.9124920724438
77,-60.7643471253456
78,-47.2170137243346
79,-36.1355044513138
80,-28.5844444019421
81,-22.3970126890082
82,-17.4085186761607
83,-13.9692839554389
84,-10.8653110103382
85,-8.45984498245503
86,-5.93867880464953
87,-4.49786499326079
88,-2.98035307242655
89,-1.57277974681991
90,-0.119113952926112
91,1.50062233925809
92,2.9147570203848
93,4.27151907951172
94,6.27931892136558
95,8.19246867659927
96,10.5563590284048
97,13.5599637630181
98,17.4372443725697
99,21.7842053210242
100,27.9354100902171
101,35.6052608780042
102,46.7320086491396
103,59.7025421776608
104,82.7704363111308
105,90.3999780094938
106,98.9063804101764
107,99.2432056751002
108,99.6290130352997
109,95.1210580431048
110,96.7276088996539
111,94.5841674255224
112,90.2106759005289
113,89.9486697569811
114,85.2374319420618
115,87.1876479407535
116,85.0117071344902
117,90.0117208241288
118,91.1696020752834
119,101.905857520785
120,109.470676786103
121,111.282398539649
122,113.307168674773
123,110.431993931067
124,103.186337993676
125,103.015921953602
126,97.7737830224421
127,91.2279333465331
128,86.3343448733143
129,82.7184220241001
130,83.0074586357414
131,76.3791082835724
132,79.0564152240971
133,89.3511748122345
134,98.1359371757319
135,113.556886147302
136,116.864572524064
137,119.336349029256
138,112.682809222847
139,107.322066615051
140,102.569611373562
141,90.7744442570316
142,86.8538319823733
143,88.7633480086181
144,75.7506483859865
145,73.9491376520026
146,68.719525618381
147,74.0819020304017
148,88.8138054545006
149,102.837445100361
150,108.828347414038
151,122.210423859576
152,119.165832507872
153,112.721647604143
154,111.509402946812
155,110.833703984273
156,100.665312693241
157,84.6252504289604
158,74.7150043833903
159,64.1802399940232
160,53.9868238920518
161,62.6319389251054
162,62.9127106521301
163,78.5615698213708
164,92.1639225067698
165,103.910124607209
166,114.912533847554
167,111.892478623923
168,110.737769585161
169,102.065760482083
170,88.1645310534614
171,79.5488822010476
172,66.4599921787115
173,52.4765169779904
174,38.785089271972
175,35.9317885796235
176,25.1508346133242
177,10.8188873762671
178,16.4217739139872
179,20.3268805635873
180,21.2706299128522
